source,clue,answer,definition,annotation,clue_number,puzzle_date,puzzle_name,puzzle_url,source_url,is_reviewed,datetime_reviewed
cru_cryptics,Furnishing cute organic bananas (11),ACCOUTERING ,,cute organic*,A,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,Criticize unproductive style of algebra (7),BOOLEAN,,BOO+LEAN,B,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,Our part of the kingdom values completing unfinished work (8),CHORDATA,,CHOR(e)+DATA,C,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,Gradually become less wild; end improved (7),DWINDLE,,wild end*,D,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,Orbital path may be derived from astronomical event taking half-second? (7),ECLIPSE,,E(c/L)LIPSE (L is half C in Roman numerals),E,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,Reported F-150 option! (4-4),FOUR-DOOR ,,"""Ford or"" hom.",F,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Surrender to soldier with style (4,2)",GIVE IN,,GI+VE IN,G,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,Part of Hamlet’s train in HO scale (7),HORATIO,,HO+RATIO,H,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Running a hotel: opportunity to score pens, snoop around (10)",INNKEEPING,,INN(KEEP)ING (PEEK rev.),I,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,Quarantining sick after first sign of jaundice (7),JAILING,,J+AILING,J,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,Holy writings of uncentered Asians (6),KORANS,,KOR(e)ANS,K,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Designed with standard units, European Parcheesi boards strike back (7)",MODULAR,,M(ODUL)AR (rev.),M,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,Drug RICO can’t hurt (8),NARCOTIC,,rico can't*,N,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,Slav lore shaped farmer’s outfit (8),OVERALLS,,slav lore*,O,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Except for the end, perform keynote without passion (8)",PLATONIC,,PLA(y)+TONIC,P,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,Aging star is essential to Chappaqua’s aristocracy (6),QUASAR,,hid.,Q,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,Speaker’s part in list (4),ROLL,,"""role"" hom.",R,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,Mystic realm strangely unchanged when reflected in a mirror (11),SYMMETRICAL,,mystic realm*,S,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,A tomb is desecrated with pee in a small drum (10),TAMBOURINE,,TAMBO+URINE (a tomb*),T,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,Prepares for cooking because hunt was all over (7),UNTHAWS,,hunt was*,U,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,The Menuhin Device created by sinister 004? (6),VIOLIN,,NIL+O+IV rev.,V,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,Wisconsin tries badly to become kinkiest (7),WIRIEST,,WI+RIEST (tries*),W,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,Article tracks eleven in old capital of China (4),XIAN,,XI+AN,X,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,A small doctor from the East interrupts Ivy League school fundraiser of sorts (8),YARDSALE,,YA(RDSA)LE (A+S+DR rev.),Y,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,Three states backing prescription drug for heartburn (6),ZANTAC,,CA+TN+AZ rev.,Z,,That's How Easy Love Can Be ****,,cru-cryptics/Cryptic196.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Caustic vomit laced with tofu, but no trace of onion (7)",HURTFUL,,HUR(ToFU)L,A,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,"After revolution, some disdain a blacklisted European nation (7)",ALBNIA ,,"...AIN A BLA..., hidden rev.",B,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,Pope's not disconcerted by delay (8) ,POSTPONE,,POPE’S NOT*,C,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,Cuts back on dried fruit (6),PRUNES ,,double definition,D,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,Vintage nickel: no good for numismatist's penultimate desires (9),YEARNINGS ,,YEAR + NI + NG + S,E,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,Superlatively filthy club enthralls West Side eccentric (8),BAWDIEST ,,BA(W + SIDE*)T,F,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,Glorify worthless judgments in conversation (7),IDOLIZE,,“IDLE EYES”,G,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,Fragments of the sound of a stream over the Continental Divide? (6),RUBBLE,,BURBLE with western half flowing westward,H,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Reverend Spooner's ministry ditches compromises? (9, hyph.)",TRADE-OFFS,,"“AID TROUGHS”, Spoonerism",I,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,Red deer protects injured antler in the boondocks (10),HINTERLAND ,,HI(ANTLER*)ND,J,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,Confuses perverted dirtiness with love (10),DISORIENTS ,,DIRTINESS* around O,K,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Top-grade, unsurpassed, having skill, conclusively (6)",ABLEST ,,"A + B(L)EST, &lit.",L,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Greyish substance that's tasty, stuffed with bitter bananas (9)",YTTERBIUM ,,Y(BITTER*)UM,M,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,Largely critical perception finally described by clarified sense? (8),KEENNESS ,,"KEy + E(N)NESS, SENSE*, &lit.",N,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,A riddle: what brings back campus celebrity to the antique drama? (9),HONEYCOMB ,,"BMOC + YE + NOH, rev.",O,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,Unending bliss one found during present comeback (9),REJOINDER ,,RE(JOy + I)NDER,P,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Eliminate restrictions on essentially grungy woolen fabric, one hears (8)",UNFREEZE,,...UN... + “FRIEZE”,Q,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Looking obliquely when using the hose, if resistance is neutral (9)",SQUINTING ,,SQUIRTING with N for R,R,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Faceless evil backing heroin, for example, is ascendant (9)",HEGEMONIC ,,H + EG + dEMONIC,S,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Countrymen enduring Latin, then Saxon chiefs (5)",CELTS,,"initial letters, &lit.",T,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,Yet our side has interrupted something ghastly halfway through (7,HOWEVER ,,HO(WE’VE)Rror,U,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Upon reflection, scientific lens scratched line for analysis of figures (9)",ECONOMICS ,,"SCI + MONOClE, rev.",V,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Bent out of shape, it's a lever that's flexible (9)",VERSATILE,,IT’S A LEVER*,W,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,Cries when the last is first to clean up (5),SWEEP ,,WEEPS with the last letter first,A,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Diabolical markers involving almost nothing square (10),INIQUITOUS,,I(NIl+QUIT)OUS,B,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Besotted over Zeus, vacuous naiad interrupting assignation (10)",RENDEZVOUS ,,"RE(N...D)EZVOUS, OVER ZEUS*",C,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Silver-tongued serf decapitated, enthralling heartless monarch (9) ",ELOQUENT ,,hELO(QUeEN)T,D,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Least experienced performer, awestruck in part (6)",RAWEST ,,...R AWEST... hidden,E,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Providing protection without artillery at first is derisory (9),INSULTING,,INSULaTING,F,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Fresh life force indispensable for the listener (6),CHEEKY,,“QI KEY”,G,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Desire unfulfilled as objection smothers hot application for growing building (10),GREENHOUSE,,,H,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Balance test maintaining scales, pivotally clutched by electrical engineer (8)",EQUALIZE ,,E(QU(...AL...)IZ)E,I,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,They come out for a five-time presidential candidate (4),DEBS ,,double definition,J,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Body deployed to overwhelm once unbroken German hussars' fronts? (8),DOUGHBOY ,,"D(OUGH)BOY, initial letters, BODY*, &lit.",K,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Lunatic then restricted by one put in a high chair? (8),ENTHRONE ,,THEN* + R + ONE,L,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,What's ruddy-skinned? Wrong! (7),SWARTHY ,,"WHATS R...Y*, &lit.",M,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Revolutionary antagonism repulsed fast runner (7),CHEETAH ,,CHE + HATE rev.,N,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Absent passion, attitude that hasn't yeastiness primarily (6)",APATHY ,,"initial letters, &lit.",O,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Rewritten home page features new promotional tool (9),MEGAPHONE ,,"MEGAPHO(N)E, HOME PAGE*",P,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Reportedly sunbathe in tight-fitting bodice (6),BASQUE ,,“BASK”,Q,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Versifier's endless song penned by one taking it easy (9),RHYMESTER ,,R(HYMn)ESTER,R,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Partially bring up misstatements on redirect (6),IMPUGN,,"...NG UP MI... hidden rev., &lit.",S,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Corrupt Greek character broke a promise on the rebound (10),DEGENERATE ,,ETA + RENEGED rev.,T,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Sort of force outcast to the current zone's boundaries? (9),GHETTOIZE ,,"G + HETTO + I + Z...E, TO THE*, &lit.",U,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Gain satisfaction from diplomat providing justice for five (5),ENJOY,,ENVOY with J for V,V,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
